REGION,YEAR,VALUE
SIN,2015,1.15
SIN,2016,1.15
SIN,2017,1.15
SIN,2018,1.15
SIN,2019,1.15
SIN,2020,1.15
SIN,2021,1.15
SIN,2022,1.15
SIN,2023,1.15
SIN,2024,1.15
SIN,2025,1.15
SIN,2026,1.15
SIN,2027,1.15
SIN,2028,1.15
SIN,2029,1.15
SIN,2030,1.15
SIN,2031,1.15
SIN,2032,1.15
SIN,2033,1.15
SIN,2034,1.15
SIN,2035,1.15
SIN,2036,1.15
SIN,2037,1.15
SIN,2038,1.15
SIN,2039,1.15
SIN,2040,1.15
SIN,2041,1.15
SIN,2042,1.15
SIN,2043,1.15
SIN,2044,1.15
SIN,2045,1.15
SIN,2046,1.15
SIN,2047,1.15
SIN,2048,1.15
SIN,2049,1.15
SIN,2050,1.15
