REGION,TECHNOLOGY,VALUE
NORDESTE,IMPBIO,1
NORDESTE,MINBIO,1
NORDESTE,IMPURN,1
NORDESTE,MINURN,1
NORDESTE,IMPCOA,1
NORDESTE,MINCOA,1
NORDESTE,IMPNGS,1
NORDESTE,MINNGS,1
NORDESTE,IMPOIL,1
NORDESTE,MINOIL,1
NORDESTE,IMPLFO,1
NORDESTE,IMPHFO,1
NORDESTE,UPSREF001,35
NORDESTE,UPSREF002,35
NORDESTE,MINGEO,1
NORDESTE,MINSOL,1
NORDESTE,MINWND,1
NORDESTE,MINHYD,1
NORDESTE,biomass,25
NORDESTE,nuclear,40
NORDESTE,coal,40
NORDESTE,gas,30
NORDESTE,oil,25
NORDESTE,solar_pv,25
NORDESTE,on_wind,30
NORDESTE,off_wind,25
NORDESTE,hydro,60
NORDESTE,mini_hydro,60
NORDESTE,small_hydro,60
SUL,IMPBIO,1
SUL,MINBIO,1
SUL,IMPURN,1
SUL,MINURN,1
SUL,IMPCOA,1
SUL,MINCOA,1
SUL,IMPNGS,1
SUL,MINNGS,1
SUL,IMPOIL,1
SUL,MINOIL,1
SUL,IMPLFO,1
SUL,IMPHFO,1
SUL,UPSREF001,35
SUL,UPSREF002,35
SUL,MINGEO,1
SUL,MINSOL,1
SUL,MINWND,1
SUL,MINHYD,1
SUL,biomass,25
SUL,nuclear,40
SUL,coal,40
SUL,gas,30
SUL,oil,25
SUL,solar_pv,25
SUL,on_wind,30
SUL,off_wind,25
SUL,hydro,60
SUL,mini_hydro,60
SUL,small_hydro,60
NORTE,IMPBIO,1
NORTE,MINBIO,1
NORTE,IMPURN,1
NORTE,MINURN,1
NORTE,IMPCOA,1
NORTE,MINCOA,1
NORTE,IMPNGS,1
NORTE,MINNGS,1
NORTE,IMPOIL,1
NORTE,MINOIL,1
NORTE,IMPLFO,1
NORTE,IMPHFO,1
NORTE,UPSREF001,35
NORTE,UPSREF002,35
NORTE,MINGEO,1
NORTE,MINSOL,1
NORTE,MINWND,1
NORTE,MINHYD,1
NORTE,biomass,25
NORTE,nuclear,40
NORTE,coal,40
NORTE,gas,30
NORTE,oil,25
NORTE,solar_pv,25
NORTE,on_wind,30
NORTE,off_wind,25
NORTE,hydro,60
NORTE,mini_hydro,60
NORTE,small_hydro,60
SUDESTE,IMPBIO,1
SUDESTE,MINBIO,1
SUDESTE,IMPURN,1
SUDESTE,MINURN,1
SUDESTE,IMPCOA,1
SUDESTE,MINCOA,1
SUDESTE,IMPNGS,1
SUDESTE,MINNGS,1
SUDESTE,IMPOIL,1
SUDESTE,MINOIL,1
SUDESTE,IMPLFO,1
SUDESTE,IMPHFO,1
SUDESTE,UPSREF001,35
SUDESTE,UPSREF002,35
SUDESTE,MINGEO,1
SUDESTE,MINSOL,1
SUDESTE,MINWND,1
SUDESTE,MINHYD,1
SUDESTE,biomass,25
SUDESTE,nuclear,40
SUDESTE,coal,40
SUDESTE,gas,30
SUDESTE,oil,25
SUDESTE,solar_pv,25
SUDESTE,on_wind,30
SUDESTE,off_wind,25
SUDESTE,hydro,60
SUDESTE,mini_hydro,60
SUDESTE,small_hydro,60
