REGION,FUEL,YEAR,VALUE
NORDESTE,DEM,2024,106144590.52000001
NORTE,DEM,2024,62546739.27
SUDESTE,DEM,2024,366877499.7
SUL,DEM,2024,110086030.15
NORDESTE,DEM,2025,106144590.52000001
NORTE,DEM,2025,62546739.27
SUDESTE,DEM,2025,366877499.7
SUL,DEM,2025,110086030.15
NORDESTE,DEM,2026,106144590.52000001
NORTE,DEM,2026,62546739.27
SUDESTE,DEM,2026,366877499.7
SUL,DEM,2026,110086030.15
NORDESTE,DEM,2027,106144590.52000001
NORTE,DEM,2027,62546739.27
SUDESTE,DEM,2027,366877499.7
SUL,DEM,2027,110086030.15
NORDESTE,DEM,2028,106144590.52000001
NORTE,DEM,2028,62546739.27
SUDESTE,DEM,2028,366877499.7
SUL,DEM,2028,110086030.15
NORDESTE,DEM,2029,106144590.52000001
NORTE,DEM,2029,62546739.27
SUDESTE,DEM,2029,366877499.7
SUL,DEM,2029,110086030.15
NORDESTE,DEM,2030,106144590.52000001
NORTE,DEM,2030,62546739.27
SUDESTE,DEM,2030,366877499.7
SUL,DEM,2030,110086030.15
